,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,level_0,phase
447,1,1020,7.0,3.0,scene_2,99,295.0,4955,5250.0,627.0,507.5,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
448,2,2100,7.0,1.0,scene_1,612,36.0,7,43.0,668.4,548.5,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
449,1,1020,7.0,1.0,scene_1,612,36.0,7,43.0,668.4,548.5,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
450,2,2100,7.0,1.0,scene_1,613,535.0,60,595.0,676.1,529.6,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
451,1,1020,7.0,1.0,scene_1,613,535.0,60,595.0,676.1,529.6,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
452,2,2100,7.0,1.0,scene_1,614,412.0,617,1029.0,646.8,515.8,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
453,1,1020,7.0,1.0,scene_1,614,412.0,617,1029.0,646.8,515.8,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
454,2,2100,7.0,1.0,scene_1,615,302.0,1052,1354.0,670.2,509.6,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
455,1,1020,7.0,1.0,scene_1,615,302.0,1052,1354.0,670.2,509.6,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
456,2,2100,7.0,1.0,scene_1,616,183.0,1381,1564.0,630.6,479.3,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
457,1,1020,7.0,1.0,scene_1,616,183.0,1381,1564.0,630.6,479.3,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
458,2,2100,7.0,1.0,scene_1,617,175.0,1589,1764.0,658.3,441.0,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
459,1,1020,7.0,1.0,scene_1,617,175.0,1589,1764.0,658.3,441.0,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
460,2,2100,7.0,1.0,scene_1,618,154.0,1801,1955.0,591.2,467.4,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
461,1,1020,7.0,1.0,scene_1,618,154.0,1801,1955.0,591.2,467.4,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
462,2,2100,7.0,1.0,scene_1,619,337.0,1981,2318.0,658.8,496.1,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
463,1,1020,7.0,1.0,scene_1,619,337.0,1981,2318.0,658.8,496.1,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
464,2,2100,7.0,1.0,scene_1,620,164.0,2337,2501.0,663.4,531.1,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
465,1,1020,7.0,1.0,scene_1,620,164.0,2337,2501.0,663.4,531.1,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
466,2,2100,7.0,1.0,scene_1,621,586.0,2530,3116.0,652.4,546.3,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
467,1,1020,7.0,1.0,scene_1,621,586.0,2530,3116.0,652.4,546.3,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
468,2,2100,7.0,1.0,scene_1,622,246.0,3139,3385.0,694.5,555.0,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
469,1,1020,7.0,1.0,scene_1,622,246.0,3139,3385.0,694.5,555.0,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
470,2,2100,7.0,1.0,scene_1,623,618.0,3412,4030.0,654.5,555.1,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,6,test
471,2,2100,7.0,3.0,scene_2,623,618.0,3412,4030.0,654.5,555.1,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
472,1,1020,7.0,1.0,scene_1,623,618.0,3412,4030.0,654.5,555.1,6,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,42,test
473,1,1020,7.0,3.0,scene_2,623,618.0,3412,4030.0,654.5,555.1,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
474,2,2100,7.0,3.0,scene_2,624,281.0,4056,4337.0,695.1,547.0,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
475,1,1020,7.0,3.0,scene_2,624,281.0,4056,4337.0,695.1,547.0,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
476,2,2100,7.0,3.0,scene_2,625,330.0,4368,4698.0,648.1,529.2,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
477,1,1020,7.0,3.0,scene_2,625,330.0,4368,4698.0,648.1,529.2,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
478,2,2100,7.0,3.0,scene_2,626,529.0,4721,5250.0,698.3,525.7,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,6,test
479,1,1020,7.0,3.0,scene_2,626,529.0,4721,5250.0,698.3,525.7,6,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,42,test
480,2,2100,8.0,1.0,scene_1,100,400.0,7,407.0,654.8,577.2,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
481,1,1020,8.0,1.0,scene_1,100,400.0,7,407.0,654.8,577.2,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
482,2,2100,8.0,1.0,scene_1,101,255.0,447,702.0,786.4,422.7,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
483,1,1020,8.0,1.0,scene_1,101,255.0,447,702.0,786.4,422.7,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,43,study
484,2,2100,8.0,1.0,scene_1,102,195.0,745,940.0,578.5,376.0,7,1280.0,"1280, 1024",1024.0,0.0,3500.0,0.0,"0,0",0.0,7,study
