,block_id,subject_id,trial_id,roi_id,roi_label,fix_id,duration,start_fix,stop_fix,x_fix,y_fix,index,bottom_right_x,bottom_right_xy,bottom_right_y,start_roi,stop_roi,top_left_x,top_left_xy,top_left_y,constrained_start,constrained_stop,level_0,phase
3326,2,2100,8.0,1.0,scene_1,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3327,2,2100,8.0,2.0,possible_answers,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3328,2,2100,8.0,3.0,scene_2,636,279.0,3544.0,3823.0,695.9,496.8,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,3544.0,3823.0,7.0,study
3329,1,1020,8.0,1.0,scene_1,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3330,1,1020,8.0,2.0,possible_answers,636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3331,1,1020,8.0,3.0,scene_2,636,279.0,3544.0,3823.0,695.9,496.8,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,3544.0,3823.0,43.0,study
3332,2,2100,8.0,4.0,target,637,225.0,3861.0,4086.0,872.1,447.2,7.0,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,3861.0,4086.0,7.0,study
3333,2,2100,8.0,4.0,target,637,225.0,3861.0,4086.0,872.1,447.2,7.0,993.0,nan,490.0,3501.0,8000.0,693.0,nan,150.0,3861.0,4086.0,7.0,study
3334,1,1020,8.0,4.0,target,637,225.0,3861.0,4086.0,872.1,447.2,7.0,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,3861.0,4086.0,43.0,study
3335,1,1020,8.0,4.0,target,637,225.0,3861.0,4086.0,872.1,447.2,7.0,993.0,nan,490.0,3501.0,8000.0,693.0,nan,150.0,3861.0,4086.0,43.0,study
3336,2,2100,8.0,5.0,lure,637,225.0,3861.0,4086.0,872.1,447.2,7.0,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,3861.0,4086.0,7.0,study
3337,2,2100,8.0,5.0,lure,637,225.0,3861.0,4086.0,872.1,447.2,7.0,993.0,nan,490.0,3501.0,8000.0,693.0,nan,150.0,3861.0,4086.0,7.0,study
3338,1,1020,8.0,5.0,lure,637,225.0,3861.0,4086.0,872.1,447.2,7.0,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,3861.0,4086.0,43.0,study
3339,1,1020,8.0,5.0,lure,637,225.0,3861.0,4086.0,872.1,447.2,7.0,993.0,nan,490.0,3501.0,8000.0,693.0,nan,150.0,3861.0,4086.0,43.0,study
3340,2,2100,8.0,1.0,scene_1,637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3341,2,2100,8.0,2.0,possible_answers,637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3342,2,2100,8.0,3.0,scene_2,637,225.0,3861.0,4086.0,872.1,447.2,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,3861.0,4086.0,7.0,study
3343,1,1020,8.0,1.0,scene_1,637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3344,1,1020,8.0,2.0,possible_answers,637,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3345,1,1020,8.0,3.0,scene_2,637,225.0,3861.0,4086.0,872.1,447.2,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,3861.0,4086.0,43.0,study
3346,2,2100,8.0,4.0,target,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3347,2,2100,8.0,4.0,target,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3348,1,1020,8.0,4.0,target,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3349,1,1020,8.0,4.0,target,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3350,2,2100,8.0,5.0,lure,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3351,2,2100,8.0,5.0,lure,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3352,1,1020,8.0,5.0,lure,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3353,1,1020,8.0,5.0,lure,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3354,2,2100,8.0,1.0,scene_1,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3355,2,2100,8.0,2.0,possible_answers,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3356,2,2100,8.0,3.0,scene_2,638,175.0,4134.0,4309.0,698.0,503.6,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,4134.0,4309.0,7.0,study
3357,1,1020,8.0,1.0,scene_1,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3358,1,1020,8.0,2.0,possible_answers,638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3359,1,1020,8.0,3.0,scene_2,638,175.0,4134.0,4309.0,698.0,503.6,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,4134.0,4309.0,43.0,study
3360,2,2100,8.0,4.0,target,639,151.0,4349.0,4500.0,858.9,435.0,7.0,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,4349.0,4500.0,7.0,study
3361,2,2100,8.0,4.0,target,639,151.0,4349.0,4500.0,858.9,435.0,7.0,993.0,nan,490.0,3501.0,8000.0,693.0,nan,150.0,4349.0,4500.0,7.0,study
3362,1,1020,8.0,4.0,target,639,151.0,4349.0,4500.0,858.9,435.0,7.0,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,4349.0,4500.0,43.0,study
3363,1,1020,8.0,4.0,target,639,151.0,4349.0,4500.0,858.9,435.0,7.0,993.0,nan,490.0,3501.0,8000.0,693.0,nan,150.0,4349.0,4500.0,43.0,study
3364,2,2100,8.0,5.0,lure,639,151.0,4349.0,4500.0,858.9,435.0,7.0,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,4349.0,4500.0,7.0,study
3365,2,2100,8.0,5.0,lure,639,151.0,4349.0,4500.0,858.9,435.0,7.0,993.0,nan,490.0,3501.0,8000.0,693.0,nan,150.0,4349.0,4500.0,7.0,study
3366,1,1020,8.0,5.0,lure,639,151.0,4349.0,4500.0,858.9,435.0,7.0,566.0,nan,490.0,3501.0,8000.0,266.0,nan,150.0,4349.0,4500.0,43.0,study
3367,1,1020,8.0,5.0,lure,639,151.0,4349.0,4500.0,858.9,435.0,7.0,993.0,nan,490.0,3501.0,8000.0,693.0,nan,150.0,4349.0,4500.0,43.0,study
3368,2,2100,8.0,1.0,scene_1,639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3369,2,2100,8.0,2.0,possible_answers,639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3370,2,2100,8.0,3.0,scene_2,639,151.0,4349.0,4500.0,858.9,435.0,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,4349.0,4500.0,7.0,study
3371,1,1020,8.0,1.0,scene_1,639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3372,1,1020,8.0,2.0,possible_answers,639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3373,1,1020,8.0,3.0,scene_2,639,151.0,4349.0,4500.0,858.9,435.0,7.0,1280.0,"1280, 1026",1026.0,3501.0,8000.0,0.0,"0,0",0.0,4349.0,4500.0,43.0,study
3374,2,2100,8.0,4.0,target,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3375,2,2100,8.0,4.0,target,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3376,1,1020,8.0,4.0,target,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3377,1,1020,8.0,4.0,target,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3378,2,2100,8.0,5.0,lure,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3379,2,2100,8.0,5.0,lure,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3380,1,1020,8.0,5.0,lure,640,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
