,level_0,subject_id,block_id,file_position,trial_id,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,start,stop,duration,type_count,index,phase
57,57,1020,1,308133,2.0,ESACC,L,1042177,1042186.0,10.0,614.1,558.6,615.3,542.9,0.41,45,1039385,2792,2801.0,9.0,19,57,nan
58,58,1020,1,328874,2.0,EFIX,L,1042187,1042744.0,558.0,618.2,542.4,3434,None,None,None,1039385,2802,3359.0,557.0,21,58,nan
59,59,1020,1,328928,2.0,SSACC,L,1042745,nan,nan,None,None,None,None,None,None,1039385,3360,nan,nan,20,59,nan
60,60,1020,1,331092,2.0,ESACC,L,1042745,1042802.0,58.0,620.8,541.1,508.7,967.2,10.79,308,1039385,3360,3417.0,57.0,20,60,nan
61,61,1020,1,338143,2.0,EFIX,L,1042803,1042990.0,188.0,510.1,959.1,3681,None,None,None,1039385,3418,3605.0,187.0,22,61,nan
62,62,1020,1,338197,2.0,SSACC,L,1042991,nan,nan,None,None,None,None,None,None,1039385,3606,nan,nan,21,62,nan
63,63,1020,1,340139,2.0,ESACC,L,1042991,1043042.0,52.0,511.1,952.2,606.0,481.9,11.80,408,1039385,3606,3657.0,51.0,21,63,nan
64,64,1020,1,345895,2.0,EFIX,L,1043043,1043195.0,153.0,607.1,489.7,3469,None,None,None,1039385,3658,3810.0,152.0,23,64,nan
65,65,1020,1,345949,2.0,SSACC,L,1043196,nan,nan,None,None,None,None,None,None,1039385,3811,nan,nan,22,65,nan
66,66,1020,1,346744,2.0,ESACC,L,1043196,1043216.0,21.0,607.9,498.1,649.8,539.2,1.57,127,1039385,3811,3831.0,20.0,22,66,nan
67,67,1020,1,362860,2.0,EFIX,L,1043217,1043649.0,433.0,648.5,547.1,3479,None,None,None,1039385,3832,4264.0,432.0,24,67,nan
68,68,1020,1,362914,2.0,SSACC,L,1043650,nan,nan,None,None,None,None,None,None,1039385,4265,nan,nan,23,68,nan
69,69,1020,1,363598,2.0,ESACC,L,1043650,1043667.0,18.0,646.6,542.2,603.3,531.0,1.22,101,1039385,4265,4282.0,17.0,23,69,nan
70,70,1020,1,378937,2.0,EFIX,L,1043668,1044079.0,412.0,602.3,522.2,3872,None,None,None,1039385,4283,4694.0,411.0,25,70,nan
71,71,1020,1,378991,2.0,SSACC,L,1044080,nan,nan,None,None,None,None,None,None,1039385,4695,nan,nan,24,71,nan
72,72,1020,1,379305,2.0,ESACC,L,1044080,1044087.0,8.0,598.8,526.7,610.3,530.2,0.33,44,1039385,4695,4702.0,7.0,24,72,nan
73,73,1020,1,400358,2.0,EFIX,L,1044088,1044651.0,564.0,610.0,532.4,3990,None,None,None,1039385,4703,5266.0,563.0,26,73,nan
74,74,1020,1,420333,3.0,EFIX,L,1045340,1045848.0,509.0,643.5,526.9,2565,None,None,None,1045333,7,515.0,508.0,27,74,nan
75,75,1020,1,420387,3.0,SSACC,L,1045849,nan,nan,None,None,None,None,None,None,1045333,516,nan,nan,25,75,nan
76,76,1020,1,421552,3.0,ESACC,L,1045849,1045879.0,31.0,641.5,522.3,732.6,571.0,2.79,155,1045333,516,546.0,30.0,25,76,nan
77,77,1020,1,426938,3.0,EFIX,L,1045880,1046022.0,143.0,729.6,565.7,2991,None,None,None,1045333,547,689.0,142.0,28,77,nan
