,subject_id,block_id,file_position,type,eye,block_relative_start,block_relative_stop,eprime_duration,5,6,7,8,9,10,trial_start,trial_id,level_0,index,phase
103,1020,1,524971,ESACC,L,1048578,1048638,61,643.6,556.9,835.3,961.7,11.07,281,1045333,3.0,38,2,test
104,1020,1,531356,EFIX,L,1048639,1048808,170,831.1,950.4,3767,None,None,None,1045333,3.0,38,2,test
105,1020,1,531410,SSACC,L,1048809,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
106,1020,1,533500,ESACC,L,1048809,1048864,56,830.7,940.7,723.1,511.3,10.89,353,1045333,3.0,38,2,test
107,1020,1,540440,EFIX,L,1048865,1049049,185,723.9,517.8,3954,None,None,None,1045333,3.0,38,2,test
108,1020,1,540494,SSACC,L,1049050,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
109,1020,1,542473,ESACC,L,1049050,1049102,53,721.1,517.8,270.5,567.6,12.21,444,1045333,3.0,38,2,test
110,1020,1,552003,EFIX,L,1049103,1049357,255,283.7,560.8,4222,None,None,None,1045333,3.0,38,2,test
111,1020,1,552057,SSACC,L,1049358,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
112,1020,1,553962,ESACC,L,1049358,1049408,51,282.2,555.5,589.0,521.6,8.33,416,1045333,3.0,38,2,test
113,1020,1,566230,EFIX,L,1049409,1049737,329,599.9,522.6,4480,None,None,None,1045333,3.0,38,2,test
114,1020,1,566284,SSACC,L,1049738,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
115,1020,1,567005,ESACC,L,1049738,1049756,19,598.9,527.0,637.9,535.7,1.09,103,1045333,3.0,38,2,test
116,1020,1,573464,EFIX,L,1049757,1049928,172,631.1,537.6,4490,None,None,None,1045333,3.0,38,2,test
117,1020,1,573518,SSACC,L,1049929,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
118,1020,1,574091,ESACC,L,1049929,1049943,15,630.2,537.1,602.2,528.3,0.80,74,1045333,3.0,38,2,test
119,1020,1,593241,EFIX,L,1049944,1050458,515,608.9,523.7,4400,None,None,None,1045333,3.0,38,2,test
120,1020,1,593295,SSACC,L,1050459,None,None,None,None,None,None,None,None,1045333,3.0,38,2,test
121,1020,1,595402,ESACC,L,1050459,1050512,54,608.9,513.0,902.8,530.4,8.01,347,1045333,3.0,38,2,test
122,1020,1,598753,EFIX,L,1050513,1050600,88,912.2,529.8,4414,None,None,None,1045333,3.0,38,2,test
123,1020,1,599346,START,1051232,LEFT,SAMPLES,EVENTS,None,None,None,None,None,None,1051232,4.0,39,3,study
124,1020,1,623093,EFIX,L,1051239,1051865,627,634.9,525.2,3073,None,None,None,1051232,4.0,39,3,study
125,1020,1,623147,SSACC,L,1051866,None,None,None,None,None,None,None,None,1051232,4.0,39,3,study
126,1020,1,624608,ESACC,L,1051866,1051904,39,628.3,516.8,808.2,515.0,4.92,216,1051232,4.0,39,3,study
127,1020,1,633213,EFIX,L,1051905,1052134,230,807.7,505.1,3490,None,None,None,1051232,4.0,39,3,study
128,1020,1,633267,SSACC,L,1052135,None,None,None,None,None,None,None,None,1051232,4.0,39,3,study
129,1020,1,634913,ESACC,L,1052135,1052178,44,808.2,499.6,560.8,442.5,6.96,301,1051232,4.0,39,3,study
130,1020,1,648069,EFIX,L,1052179,1052531,353,567.9,436.5,3833,None,None,None,1051232,4.0,39,3,study
131,1020,1,648123,SSACC,L,1052532,None,None,None,None,None,None,None,None,1051232,4.0,39,3,study
132,1020,1,649103,ESACC,L,1052532,1052557,26,567.7,435.2,656.2,476.3,2.67,180,1051232,4.0,39,3,study
133,1020,1,656302,EFIX,L,1052558,1052749,192,656.9,498.6,4161,None,None,None,1051232,4.0,39,3,study
134,1020,1,656356,SSACC,L,1052750,None,None,None,None,None,None,None,None,1051232,4.0,39,3,study
135,1020,1,657262,ESACC,L,1052750,1052773,24,652.8,498.0,579.8,491.3,2.01,129,1051232,4.0,39,3,study
136,1020,1,664498,EFIX,L,1052774,1052966,193,586.8,491.6,4329,None,None,None,1051232,4.0,39,3,study
137,1020,1,664552,SSACC,L,1052967,None,None,None,None,None,None,None,None,1051232,4.0,39,3,study
138,1020,1,665384,ESACC,L,1052967,1052988,22,586.4,488.4,645.2,501.7,1.65,141,1051232,4.0,39,3,study
139,1020,1,676209,EFIX,L,1052989,1053278,290,635.1,500.2,4327,None,None,None,1051232,4.0,39,3,study
140,1020,1,676263,SSACC,L,1053279,None,None,None,None,None,None,None,None,1051232,4.0,39,3,study
141,1020,1,677095,ESACC,L,1053279,1053300,22,632.5,496.1,582.5,471.7,1.52,127,1051232,4.0,39,3,study
